Date,Region,total_streams
2017-01-08,ar,5691182
2017-01-08,at,685553
2017-01-08,au,7019376
2017-01-08,be,1205929
2017-01-08,bo,123833
2017-01-08,br,13561874
2017-01-08,ca,6309058
2017-01-08,ch,949069
2017-01-08,cl,4267812
2017-01-08,co,1540102
2017-01-08,cr,667194
2017-01-08,cz,415632
2017-01-08,de,12728503
2017-01-08,dk,3475541
2017-01-08,do,342707
2017-01-08,ec,698832
2017-01-08,ee,48273
2017-01-08,es,7774543
2017-01-08,fi,2783125
2017-01-08,fr,6572235
2017-01-08,gb,17042871
2017-01-08,global,162831491
2017-01-08,gr,105150
2017-01-08,gt,250743
2017-01-08,hk,736903
2017-01-08,hn,153816
2017-01-08,hu,284821
2017-01-08,id,2236567
2017-01-08,ie,1494847
2017-01-08,is,96051
2017-01-08,it,3630073
2017-01-08,jp,346838
2017-01-08,lt,59283
2017-01-08,lu,10313
2017-01-08,lv,55100
2017-01-08,mx,11799783
2017-01-08,my,1387920
2017-01-08,nl,6894545
2017-01-08,no,3907588
2017-01-08,nz,1899183
2017-01-08,pa,243395
2017-01-08,pe,1519032
2017-01-08,ph,8145151
2017-01-08,pl,1736750
2017-01-08,pt,991762
2017-01-08,py,293163
2017-01-08,se,7040597
2017-01-08,sg,1674350
2017-01-08,sk,62459
2017-01-08,sv,124272
2017-01-08,tr,1753449
2017-01-08,tw,1072249
2017-01-08,us,51041199
2017-01-08,uy,429900
2017-01-09,ar,5880184
2017-01-09,at,733465
2017-01-09,au,7414237
2017-01-09,be,1075707
2017-01-09,bo,176634
2017-01-09,br,14502164
2017-01-09,ca,6749476
2017-01-09,ch,1016254
2017-01-09,cl,4492036
2017-01-09,co,1568570
2017-01-09,cr,790853
2017-01-09,cz,433263
2017-01-09,de,12355756
2017-01-09,dk,3825979
2017-01-09,do,327176
2017-01-09,ec,652568
2017-01-09,ee,57532
2017-01-09,es,7815485
2017-01-09,fi,2970643
2017-01-09,fr,6194861
2017-01-09,gb,18336932
2017-01-09,global,175235859
2017-01-09,gr,105412
2017-01-09,gt,307255
2017-01-09,hk,787037
2017-01-09,hn,144752
2017-01-09,hu,318629
2017-01-09,id,2503938
2017-01-09,ie,1528991
2017-01-09,is,134590
2017-01-09,it,4041407
2017-01-09,jp,407826
2017-01-09,lt,63883
2017-01-09,lu,11085
2017-01-09,lv,64103
2017-01-09,mx,13375045
2017-01-09,my,1549819
2017-01-09,nl,7698492
2017-01-09,no,4481794
2017-01-09,nz,1999208
2017-01-09,pa,231992
2017-01-09,pe,1720120
2017-01-09,ph,8574287
2017-01-09,pl,1698306
2017-01-09,pt,1085018
2017-01-09,py,323353
2017-01-09,se,7841748
2017-01-09,sg,1904258
2017-01-09,sk,60642
2017-01-09,sv,137712
2017-01-09,tr,1727061
2017-01-09,tw,1184793
2017-01-09,us,56164563
2017-01-09,uy,484799
2017-01-10,ar,5896533
2017-01-10,at,728006
2017-01-10,au,7490990
2017-01-10,be,1107222
2017-01-10,bo,177128
2017-01-10,br,14261299
2017-01-10,ca,6929686
2017-01-10,ch,1041957
2017-01-10,cl,4462808
2017-01-10,co,1799604
2017-01-10,cr,820070
2017-01-10,cz,443868
2017-01-10,de,12337474
2017-01-10,dk,3866320
2017-01-10,do,301324
2017-01-10,ec,650029
2017-01-10,ee,60064
2017-01-10,es,7784772
2017-01-10,fi,2966686
2017-01-10,fr,6117739
2017-01-10,gb,18067979
2017-01-10,global,178480856
2017-01-10,gr,121481
2017-01-10,gt,318199
2017-01-10,hk,799636
2017-01-10,hn,167660
2017-01-10,hu,323297
2017-01-10,id,2515574
2017-01-10,ie,1482646
2017-01-10,is,125100
2017-01-10,it,4243912
2017-01-10,jp,363735
2017-01-10,lt,80902
2017-01-10,lu,12277
2017-01-10,lv,69969
2017-01-10,mx,13991812
2017-01-10,my,1533906
2017-01-10,nl,7629696
2017-01-10,no,4499998
2017-01-10,nz,2007429
2017-01-10,pa,252227
2017-01-10,pe,1749568
2017-01-10,ph,8339938
2017-01-10,pl,1735712
2017-01-10,pt,1078900
2017-01-10,py,307776
2017-01-10,se,7854233
2017-01-10,sg,1896853
2017-01-10,sk,65796
2017-01-10,sv,142556
2017-01-10,tr,1729268
2017-01-10,tw,1236164
2017-01-10,us,58331512
2017-01-10,uy,483416
2017-01-11,ar,6305967
2017-01-11,at,757891
2017-01-11,au,7569250
2017-01-11,be,1211715
2017-01-11,bo,176846
2017-01-11,br,15055404
2017-01-11,ca,7055229
2017-01-11,ch,1080160
2017-01-11,cl,4498003
2017-01-11,co,1858584
2017-01-11,cr,843697
2017-01-11,cz,436703
2017-01-11,de,12692210
2017-01-11,dk,3876978
2017-01-11,do,307436
2017-01-11,ec,685994
2017-01-11,ee,60160
2017-01-11,es,8157398
2017-01-11,fi,3063018
2017-01-11,fr,6935680
2017-01-11,gb,18531609
2017-01-11,global,182965779
2017-01-11,gr,101844
2017-01-11,gt,332041
2017-01-11,hk,804422
2017-01-11,hn,179564
2017-01-11,hu,325536
2017-01-11,id,2532411
2017-01-11,ie,1552880
2017-01-11,is,128577
2017-01-11,it,4414500
2017-01-11,jp,355020
2017-01-11,lt,78191
2017-01-11,lu,13918
2017-01-11,lv,63757
2017-01-11,mx,14420433
2017-01-11,my,1551084
2017-01-11,nl,7933305
2017-01-11,no,4613570
2017-01-11,nz,2049296
2017-01-11,pa,250498
2017-01-11,pe,1811650
2017-01-11,ph,8621000
2017-01-11,pl,1721684
2017-01-11,pt,1136848
2017-01-11,py,316863
2017-01-11,se,7833029
2017-01-11,sg,1917643
2017-01-11,sk,67028
2017-01-11,sv,150115
2017-01-11,tr,1799345
2017-01-11,tw,1213307
2017-01-11,us,59651693
2017-01-11,uy,524916
2017-01-12,ar,6388430
2017-01-12,at,787876
2017-01-12,au,7592355
2017-01-12,be,1119390
2017-01-12,bo,187241
2017-01-12,br,15048505
2017-01-12,ca,7143268
2017-01-12,ch,1075418
2017-01-12,cl,4593611
2017-01-12,co,1908703
2017-01-12,cr,847145
2017-01-12,cz,461410
2017-01-12,de,13055257
2017-01-12,dk,4019707
2017-01-12,do,322825
2017-01-12,ec,689751
2017-01-12,ee,67159
2017-01-12,es,8253931
2017-01-12,fi,3050916
2017-01-12,fr,6557037
2017-01-12,gb,17876510
2017-01-12,global,184783619
2017-01-12,gr,108286
2017-01-12,gt,343293
2017-01-12,hk,780963
2017-01-12,hn,188169
2017-01-12,hu,329343
2017-01-12,id,2506704
2017-01-12,ie,1489307
2017-01-12,is,124066
2017-01-12,it,4388783
2017-01-12,jp,355266
2017-01-12,lt,82239
2017-01-12,lu,14077
2017-01-12,lv,66705
2017-01-12,mx,14758343
2017-01-12,my,1583659
2017-01-12,nl,7906129
2017-01-12,no,4785963
2017-01-12,nz,2058873
2017-01-12,pa,254229
2017-01-12,pe,1832422
2017-01-12,ph,8739957
2017-01-12,pl,1819274
2017-01-12,pt,1122732
2017-01-12,py,336479
2017-01-12,se,8276621
2017-01-12,sg,1924129
2017-01-12,sk,67754
2017-01-12,sv,154013
2017-01-12,tr,1798886
